,"Trade_Name
",Chemical,Manufacturer,Top_15_Brand_Corporation,Biologic_(by_Product),Biosimilar,NAS,Oncology,Rare_Disease_(FDA),Rare_Disease_(EMA),Rare_Disease_(FDA_or_EMA),HC-HTA_Aligned_Review,Health_Canada_Submission_Date,NOC_Date,Health_Canada_Review_Time,HTA_Agency,CADTH_Submission_Date,CADTH_Timing_of__Submission,CADTH_Submission_Type_-_Agency_Specific,CADTH_Indication,CADTH_Review_Status,CADTH_Final_Recommendation/Withdrawn_Date,CADTH_Recommended_-_Agency_Specific,CADTH_Decision_Type_-_Standardized,INESSS_Submission_Date,INESSS_Timing_of__Submission,INESSS_Submission_Type_-_Agency_Specific,INESSS_Indication,INESSS_Review_Status,INESSS_Final_Recommendation/Withdrawn_Date,INESSS_Recommended_-_Agency_Specific,INESSS_Decision_Type_-_Standardized,pCPA_Negotiation,pCPA_First_Date,pCPA_Final_Date,pCPA_Type,pCPA_Negotiation_Outcome,BC_Status,AB_Status,SK_Status,MB_Status,ON_Status,NB_Status,NS_Status,PEI_Status,NL_Status,QC_Status,Listing_BC_Date,Listing_AB_Date,Listing_SK_Date,Listing_MB_Date,Listing_ON_Date,Listing_NB_Date,Listing_NS_Date,Listing_PEI_Date,Listing_NL_Date,Listing_QC_Date,First_Prov_Listing_(excl_QC),First_Prov_Listing_(inc_QC),Rank_BC_Listing_Date,Rank_AB_Listing_Date,Rank_SK_Listing_Date,Rank_MB_Listing_Date,Rank_ON_Listing_Date,Rank_NB_Listing_Date,Rank_NS_Listing_Date,Rank_PEI_Listing_Date,Rank_NL_Listing_Date,Rank_QC_Listing_Date,Rank_1,Rank_2,Rank_3,Rank_4,Rank_5,Rank_6,Rank_7,Rank_8,Rank_9,Rank_10,Total_population_coverage_(incl_QC),Date_>_50%_Cumulative_Ranking,Date_>_80%_Cumulative_Ranking,NOC_to_CADTH_Submission,NOC_to_INESSS_Submission,CADTH_Duration,INESSS_Duration,CADTH_to_pCPA_Initiation,INESSS_to_pCPA_Initiation,pCPA_LOI_to_LOE,pCPA_to_Listing_BC_Date,pCPA_to_Listing_AB_Date,pCPA_to_Listing_SK_Date,pCPA_to_Listing_MB_Date,pCPA_to_Listing_ON_Date,pCPA_to_Listing_NB_Date,pCPA_to_Listing_NS_Date,pCPA_to_Listing_PEI_Date,pCPA_to_Listing_NL_Date,pCPA_to_Listing_QC_Date,pCPA_to_Listing_Nat_Avg_(excl_QC),pCPA_Completion_to_1st_Listing_(excl_QC),pCPA_to_Listing_Nat_Avg_(incl_QC),pCPA_Completion_to_1st_Listing_(incl_QC),pCPA_Completion_to_80%_Listing,NOC_to_Listing_BC_Date,NOC_to_Listing_AB_Date,NOC_to_Listing_SK_Date,NOC_to_Listing_MB_Date,NOC_to_Listing_ON_Date,NOC_to_Listing_NB_Date,NOC_to_Listing_NS_Date,NOC_to_Listing_PEI_Date,NOC_to_Listing_NL_Date,NOC_to_Listing_QC_Date,NOC_to_Listing_Nat_Avg_(excl_QC),NOC_to_Listing_Nat_Avg_(inc_QC),"NOC_to_1st_Provincial_Listing
(unique_at_product/indication_level)_exc_QC","CADTH_Submission_to_1st_Provincial_Listing
exc_QC",CADTH_Recommendation_to_1st_Provincial_Listing_exc_QC,HTA_Rec_to_BC_Listing_Date,HTA_Rec_to_AB_Listing_Date,HTA_Rec_to_SK_Listing_Date,HTA_Rec_to_MB_Listing_Date,HTA_Rec_to_ON_Listing_Date,HTA_Rec_to_NB_Listing_Date,HTA_Rec_to_NS_Listing_Date,HTA_Rec_to_PEI_Listing_Date,HTA_Rec_to_NL_Listing_Date,HTA_Rec_to_QC_Listing_Date,Nat`l_Avg_(excl_QC),NOC_to_CADTH_Rec,NOC_to_INESSS_Rec,CADTH_Rec_to_pCPA_Decision,INESSS_Rec_to_pCPA_Decision,NOC_to_80%_Listing,First_Provincial_Listing_to_80%_Listing_(incl_QC),First_Provincial_Listing_to_80%_Listing_(excl_QC),First_Provincial_Listing_to_50%_Listing_(incl_QC),50%_Listing_to_80%_Listing,HC_Sub_to_CADTH_Rec
553,Simbrinza,brinzolamide / brimonidine,Alcon ,N,N,N,N,N,N,N,N,N,,11-Dec-14,,CADTH & INESSS,03-Nov-14,pre-NOC,Initial,Glaucoma and ocular hypertension,Completed,17-Jun-15,List,Positive,22-Mar-15,post-NOC,New Drug,Glaucoma and ocular hypertension,Completed,01-Oct-15,Avis d'inscription aux listes de médicaments,Positive,1st,06-Aug-15,27-Aug-15,Negotiation,Completed with Agreements,FB,FB,FB,FB,LU,FB,FB,FB,FB,FB,2015-10-27,2015-12-01,2015-10-01,2015-10-22,2015-10-29,2015-11-24,2016-02-01,2015-11-23,2015-10-01,2015-10-01,01-Oct-15,2015-10-01,5.0,9.0,1.0,4.0,6.0,8.0,10.0,7.0,2.0,3.0,5.70%,6.40%,35.00%,40.50%,60.80%,93.00%,93.30%,94.20%,98.70%,100.00%,100.00%,27-Oct-15,29-Oct-15,-38.0,101.0,226.0,193.0,50.0,-56.0,21.0,61.0,96.0,35.0,56.0,63.0,89.0,158.0,88.0,35.0,35.0,76.0,35.0,72.0,35.0,63.0,320.0,355.0,294.0,315.0,322.0,348.0,417.0,347.0,294.0,294.0,335.0,331.0,294.0,332.0,106.0,132.0,167.0,106.0,127.0,134.0,160.0,229.0,159.0,106.0,0.0,147.0,188.0,294.0,71.0,-35.0,322.0,28.0,28.0,26.0,2.0,42172
554,Simponi (IV) (RA),golimumab,Janssen ,Y,Y,N,N,N,N,N,N,N,,28-Nov-13,,CADTH & INESSS,12-Sep-13,pre-NOC,Initial,"Arthritis, rheumatoid",Completed,17-Jul-14,List with criteria/condition,Conditional,24-Nov-13,pre-NOC,New Form,Rheumatoid arthritis,Completed,02-Jun-14,Ajout aux listes de médicaments - Médicament d'exception,Conditional,1st,06-Oct-14,19-Apr-16,Negotiation,No agreement reached,NR,NR,EDS,EDS,NR,NR,NR,NR,NR,EM,,,2016-09-01,2014-10-16,,,,,,2014-06-02,16-Oct-14,2014-06-02,,,3.0,2.0,,,,,,1.0,28.60%,34.10%,39.80%,,,,,,,,39.80%,,,-77.0,-4.0,308.0,190.0,81.0,126.0,561.0,,,135.0,-551.0,,,,,,-687.0,-208.0,-551.0,-368.0,-687.0,,,,1008.0,322.0,,,,,,186.0,665.0,505.0,322.0,399.0,91.0,,,777.0,91.0,,,,,,0.0,434.0,231.0,186.0,642.0,687.0,,,,,,41837
555,Simponi (UC),golimumab,Janssen ,Y,Y,N,N,N,N,N,N,N,,19-Sep-13,,CADTH & INESSS,12-Jul-13,pre-NOC,Initial,Ulcerative colitis,Completed,19-Mar-14,Do not list at the submitted price,Negative,,,New Indication,ulcerative collitis,Completed,02-Jun-14,Ajout d'une indication reconnue - Médicament d'exception - Avis de refus - Valeur thérapeutique,Conditional,1st,23-May-14,12-Aug-16,Negotiation,Completed with Agreements,NR,SA,EDS,EDS,EAP,SA,EDS,NR,SA,NR,,2017-05-01,2016-09-01,2017-04-20,2016-09-16,2017-05-29,2017-02-01,,2017-04-12,,01-Sep-16,2016-09-01,,6.0,1.0,5.0,2.0,7.0,3.0,,4.0,,5.70%,38.00%,39.30%,39.90%,45.50%,49.90%,50.80%,,,,50.80%,29-May-17,,-69.0,,250.0,,65.0,-10.0,812.0,,262.0,20.0,251.0,35.0,290.0,173.0,,243.0,,182.0,20.0,182.0,20.0,,,1320.0,1078.0,1309.0,1093.0,1348.0,1231.0,,1301.0,,1240.0,1240.0,1078.0,1147.0,897.0,,1139.0,897.0,1128.0,912.0,1167.0,1050.0,,1120.0,,1059.0,181.0,256.0,877.0,802.0,,,,270.0,,41717
557,Skyrizi,risankizumab,AbbVie ,Y,Y,N,Y,N,N,N,N,N,01-Jun-18,17-Apr-19,320.0,CADTH & INESSS,22-Oct-18,pre-NOC,Initial,"Psoriasis, moderate to severe plaque",Completed,28-May-19,Reimburse with clinical criteria and/or conditions,Conditional,08-Oct-18,pre-NOC,New Drug,Plaque psoriasis,Completed,05-Jun-19,Inscription - Avec conditions,Conditional,1st,27-Jun-19,28-Nov-19,Negotiation,Completed with Agreements,SA,SA,EDS,EDS,LU,SA,EDS,SA,SA,EM,2020-05-05,2020-02-01,2020-02-01,2020-03-02,2020-01-31,2020-03-19,2020-02-06,2021-02-22,2020-09-16,2020-02-05,31-Jan-20,2020-01-31,8.0,2.0,3.0,6.0,1.0,7.0,5.0,10.0,9.0,4.0,32.20%,36.70%,42.40%,71.00%,72.30%,77.80%,78.70%,99.00%,99.60%,100.00%,100.00%,05-Feb-20,05-May-20,-177.0,-191.0,218.0,240.0,30.0,22.0,154.0,159.0,65.0,65.0,95.0,64.0,112.0,70.0,452.0,293.0,69.0,153.0,64.0,144.0,64.0,159.0,384.0,290.0,290.0,320.0,289.0,337.0,295.0,677.0,518.0,294.0,378.0,369.0,289.0,466.0,248.0,343.0,249.0,249.0,279.0,248.0,296.0,254.0,636.0,477.0,245.0,337.0,41.0,49.0,184.0,176.0,384.0,95.0,95.0,5.0,90.0,361
560,Soliqua,lixisenatide + insulin glargine,Sanofi-Aventis ,Y,N,N,N,N,N,N,N,N,01-Sep-17,06-Jul-18,308.0,CADTH & INESSS,18-May-18,pre-NOC,Initial,"Diabetes mellitus, Type 2",Completed,24-Dec-18,Reimburse with clinical criteria and/or conditions,Conditional,03-Jul-20,post-NOC,New Drug,Type 2 Diabetes,Completed,02-Dec-20,Refus d'inscription,Negative,1st,16-Apr-19,21-Nov-19,Negotiation,Completed with Agreements,NR,UR,EDS,EDS,FB,UR,UR,UR,SA,NR,,,2021-01-01,2021-08-05,2019-12-20,,,,2022-05-03,,20-Dec-19,2019-12-20,,,2.0,3.0,1.0,,,,4.0,,32.20%,38.00%,43.50%,44.20%,,,,,,,44.20%,,,-49.0,728.0,220.0,152.0,113.0,-596.0,219.0,,,407.0,623.0,29.0,,,,894.0,,488.0,29.0,488.0,29.0,,,,910.0,1126.0,532.0,,,,1397.0,,991.0,991.0,532.0,581.0,361.0,,,739.0,955.0,361.0,,,,1226.0,,820.0,171.0,880.0,332.0,-377.0,,,,,,479
563,Soliris (Advice),eculizumab,Alexion Pharmaceuticals,N,Y,N,N,N,Y,Y,Y,N,,01-Mar-13,,CADTH,09-Feb-15,post-NOC,Request for Advice,"Hemolytic Uremic Syndrome, Atypical",Completed,20-May-15,Not Applicable: Request for Advice (Completed),,,,,,,,,,1st,06-Aug-15,16-Feb-16,Negotiation,No agreement reached,E,NR,NR,NR,EAP,NR,NR,NR,NR,NR,2017-11-20,,,,2015-02-01,,,,,,01-Feb-15,2015-02-01,2.0,,,,1.0,,,,,,32.20%,52.50%,,,,,,,,,52.50%,20-Nov-17,,710.0,,100.0,,78.0,,194.0,643.0,,,,-380.0,,,,,,132.0,-380.0,132.0,-380.0,,1725.0,,,,702.0,,,,,,1214.0,1214.0,702.0,-8.0,-108.0,915.0,,,,-108.0,,,,,,404.0,810.0,,272.0,,,,,1023.0,,42144
568,Spinraza,nusinersen,Biogen,N,N,N,Y,N,Y,Y,Y,N,01-Dec-16,29-Jun-17,210.0,CADTH & INESSS,28-Jun-17,pre-NOC,Initial,Spinal Muscular Atrophy,Completed,22-Dec-17,Reimburse with clinical criteria and/or conditions,Conditional,23-Jul-17,post-NOC,New Drug,spinal muscular atrophy,Completed,15-Dec-17,Avis de refus d'inscription à la Liste Établissements,Negative,1st,29-Jan-18,26-Sep-18,Negotiation,Completed with Agreements,UR,SA,EDS,EDS,EAP,SA,EDS,NR,NR,EM,,2018-12-01,2019-05-01,2019-01-24,2018-11-20,2019-02-07,2019-09-01,,,2018-12-18,20-Nov-18,2018-11-20,,2.0,6.0,4.0,1.0,5.0,7.0,,,3.0,32.20%,36.70%,65.30%,70.80%,71.70%,77.40%,78.70%,,,,78.70%,18-Dec-18,,-1.0,24.0,177.0,145.0,38.0,45.0,240.0,,66.0,217.0,120.0,55.0,134.0,340.0,,,83.0,155.0,55.0,145.0,55.0,,,520.0,671.0,574.0,509.0,588.0,794.0,,,537.0,609.0,599.0,509.0,510.0,333.0,,344.0,495.0,398.0,333.0,412.0,618.0,,,368.0,433.0,176.0,169.0,278.0,285.0,,,,28.0,,386
569,Spinraza,nusinersen,Biogen,N,N,N,Y,N,Y,Y,Y,N,01-Dec-16,29-Jun-17,210.0,CADTH & INESSS,24-Jul-18,post-NOC,Initial,Spinal Muscular Atrophy,Completed,27-Feb-19,Reimburse with clinical criteria and/or conditions,Conditional,,,New Indication,spinal muscular atrophy,Completed,14-Jan-19,Inscription  Avec conditions,Conditional,1st,25-Apr-19,26-Jun-19,Negotiation,Completed with Agreements,EDRD,UR,UR,UR,EAP,SA,EDS,SA,SA,EM,2019-07-01,,,,2019-06-12,2019-08-26,2022-11-01,2022-03-28,2020-02-14,2018-12-18,12-Jun-19,2018-12-18,3.0,,,,2.0,4.0,7.0,6.0,5.0,1.0,28.60%,60.80%,81.10%,82.00%,82.60%,83.00%,84.30%,,,,84.30%,12-Jun-19,01-Jul-19,390.0,,218.0,,57.0,101.0,62.0,5.0,,,,-14.0,61.0,1224.0,1006.0,233.0,-190.0,419.0,-14.0,332.0,-190.0,5.0,732.0,,,,713.0,788.0,1951.0,1733.0,960.0,537.0,1146.0,1059.0,713.0,323.0,105.0,124.0,,,,105.0,180.0,1343.0,1125.0,352.0,-27.0,538.0,608.0,564.0,119.0,163.0,732.0,195.0,19.0,176.0,19.0,818
571,Spiriva Respimat,tiotropium bromide,Boehringer Ingelheim ,N,N,N,N,N,N,N,N,N,,17-Dec-14,,CADTH & INESSS,23-Dec-14,post-NOC,Initial,Chronic Obstructive Pulmonary Disease (COPD),Completed,16-Jul-15,List with clinical criteria and/or conditions,Conditional,04-Aug-15,post-NOC,New Drug,Chronic Obstructive Pulmonary Disease (COPD),Completed,01-Feb-16,Avis d'inscription aux listes de médicaments,Positive,1st,21-Aug-15,02-Mar-16,Negotiation,Completed with Agreements,FB,FB,FB,FB,FB,SA,EDS,SA,SA,FB,2020-07-07,2016-05-01,2016-05-01,2016-07-21,2016-03-30,2016-04-12,2016-05-01,2016-04-25,2016-07-01,2016-05-04,30-Mar-16,2016-03-30,10.0,4.0,5.0,9.0,1.0,2.0,6.0,3.0,8.0,7.0,32.20%,33.10%,33.50%,37.90%,43.70%,45.00%,73.50%,74.20%,79.70%,100.00%,100.00%,04-May-16,07-Jul-20,6.0,230.0,205.0,181.0,36.0,-164.0,194.0,1588.0,60.0,60.0,141.0,28.0,41.0,60.0,54.0,121.0,63.0,239.0,28.0,222.0,28.0,1588.0,2029.0,501.0,501.0,582.0,469.0,482.0,501.0,495.0,562.0,504.0,680.0,663.0,469.0,463.0,258.0,1818.0,290.0,290.0,371.0,258.0,271.0,290.0,284.0,351.0,93.0,469.0,211.0,411.0,230.0,30.0,2029.0,1560.0,1560.0,35.0,1525.0,42201
574,Stelara,ustekinumab,Janssen ,Y,Y,N,N,N,N,N,N,N,,21-Jan-14,,CADTH & INESSS,30-Oct-13,pre-NOC,Initial,"Arthritis, Psoriatic",Completed,20-Oct-14,Do not list at the submitted price,Negative,22-Mar-14,post-NOC,New Indication,"Arthritis, Psoriatic",Completed,01-Oct-14,Ajout d'une indication reconnue - Médicament d'exception,Conditional,none,27-Nov-14,,Do Not Negotiate,,NR,NR,EDS,NR,NR,SA,NR,NR,NR,EM,,,2015-10-01,,,2019-03-27,,,,2014-10-01,01-Oct-15,2014-10-01,,,2.0,,,3.0,,,,1.0,28.60%,34.30%,35.20%,,,,,,,,35.20%,,,-83.0,60.0,355.0,193.0,38.0,57.0,,,,,,,,,,,,,,,,,,,618.0,,,1891.0,,,,253.0,1255.0,921.0,618.0,701.0,346.0,,,346.0,,,1619.0,,,,0.0,983.0,272.0,253.0,,,,,,,,41932
575,Stelara (CD),ustekinumab,Janssen ,Y,Y,N,N,N,N,N,N,N,,12-Dec-16,,CADTH & INESSS,12-Sep-16,pre-NOC,Initial,Crohns disease,Completed,21-Mar-17,Reimburse with clinical criteria and/or conditions,Conditional,24-Mar-17,post-NOC,New Indication,Crohn's Disease,Completed,18-Oct-17,Avis d'inscription aux listes des médicaments - Médicament d'exception,Conditional,1st,09-Feb-18,29-Mar-19,Negotiation,No agreement reached,NR,UR,EDS,NR,NR,NR,NR,NR,NR,UR,,,2018-08-01,,,,,,,,01-Aug-18,2018-08-01,,,1.0,,,,,,,,5.70%,,,,,,,,,,5.70%,,,-91.0,102.0,190.0,208.0,325.0,114.0,413.0,,,-240.0,,,,,,,,-240.0,-240.0,-240.0,-240.0,,,,597.0,,,,,,,,597.0,597.0,597.0,688.0,498.0,,,498.0,,,,,,,,498.0,99.0,310.0,738.0,527.0,,,,,,42815
577,Stivarga,regorafenib,Bayer ,Y,N,N,N,Y,Y,N,Y,N,01-Apr-17,18-Sep-17,170.0,CADTH & INESSS,12-Oct-17,post-NOC,New indication,Unresectable Hepatocellular Carcinoma (HCC),Completed,18-Apr-18,Cond'l on Cost,Conditional,05-Mar-18,post-NOC,New Indication,Unresectable Hepatocellular Carcinoma (HCC),Completed,05-Sep-18,Avis d'ajout d'une indication reconnue aux listes - Médicament d'exception - Avec conditions,Conditional,1st,10-Sep-18,07-Mar-19,Negotiation,Completed with Agreements,Funded,Funded,Funded,Funded,Funded,Funded,Funded,Funded,Funded,EM,2019-07-01,2019-11-18,2019-09-03,2020-03-02,2020-09-30,2019-11-07,2019-11-01,,,2019-04-11,01-Jul-19,2019-04-11,2.0,6.0,3.0,7.0,8.0,5.0,4.0,,,1.0,28.60%,48.80%,54.60%,55.90%,56.80%,61.20%,66.70%,99.00%,,,99.00%,03-Sep-19,30-Sep-20,24.0,168.0,188.0,184.0,145.0,5.0,178.0,116.0,256.0,180.0,361.0,573.0,245.0,239.0,,,35.0,281.0,116.0,251.0,35.0,573.0,651.0,791.0,715.0,896.0,1108.0,780.0,774.0,,,570.0,816.0,786.0,651.0,627.0,439.0,439.0,579.0,503.0,684.0,896.0,568.0,562.0,,,218.0,604.0,212.0,352.0,323.0,183.0,1108.0,538.0,457.0,145.0,393.0,382
583,Strensiq (2nd pCPA),asfotase alfa,Alexion Pharmaceuticals,N,Y,N,Y,N,Y,Y,Y,Y,,14-Aug-15,,CADTH & INESSS,21-Aug-15,post-NOC,Initial,"Hypophosphatasia, pediatric-onset",Completed,23-Mar-16,List with criteria/condition,Conditional,22-Mar-16,post-NOC,Resubmission,"Hypophosphatasia, pediatric-onset",Completed,16-Dec-16,Avis de refus d'inscription aux listes des médicaments,Negative,2nd,07-Jun-17,09-Jan-18,Negotiation,Completed with Agreements,NR,SA,NR,NR,EAP,SA,EDS,NR,NR,UR,,2018-03-01,,,2018-06-06,2020-01-29,2020-09-10,,,,01-Mar-18,2018-03-01,,1.0,,,2.0,3.0,4.0,,,,4.50%,36.70%,37.60%,38.90%,,,,,,,38.90%,,,7.0,221.0,215.0,269.0,441.0,173.0,216.0,,51.0,,,148.0,750.0,975.0,,,,481.0,51.0,481.0,51.0,,,930.0,,,1027.0,1629.0,1854.0,,,,1360.0,1360.0,930.0,923.0,708.0,,708.0,,,805.0,1407.0,1632.0,,,,1138.0,222.0,490.0,657.0,389.0,,,,,,42452
585,Sublocade,buprenorphine,Indivior Canada Ltd.,N,N,N,N,N,N,N,N,N,01-May-18,21-Nov-18,204.0,CADTH & INESSS,20-Dec-18,post-NOC,Initial,"Opioid use disorder, treatment",Completed,19-Jun-19,Reimburse with clinical criteria and/or conditions,Conditional,01-Mar-19,post-NOC,New Drug,Opioid use disorder,Completed,11-Sep-19,Inscription - Avec conditions,Conditional,1st,09-Jul-19,08-Apr-20,Negotiation,Completed with Agreements,SA,SA,EDS,RB,LU,FB,FB,FB,SA,EM,2020-04-30,2020-06-01,2020-07-01,2020-07-16,2021-04-30,2020-05-21,2020-06-03,2021-07-26,2020-06-15,2020-04-29,30-Apr-20,2020-04-29,2.0,4.0,7.0,8.0,9.0,3.0,5.0,10.0,6.0,1.0,28.60%,48.80%,49.70%,54.20%,55.50%,56.20%,61.90%,67.40%,99.60%,100.00%,100.00%,01-Jun-20,30-Apr-21,29.0,100.0,181.0,194.0,20.0,-64.0,274.0,22.0,54.0,84.0,99.0,387.0,43.0,56.0,474.0,68.0,21.0,143.0,22.0,131.0,21.0,387.0,526.0,558.0,588.0,603.0,891.0,547.0,560.0,978.0,572.0,525.0,647.0,635.0,526.0,497.0,316.0,316.0,348.0,378.0,393.0,681.0,337.0,350.0,768.0,362.0,231.0,437.0,210.0,294.0,294.0,210.0,891.0,366.0,365.0,33.0,333.0,414
586,Sunvepra,asunaprevir,Bristol-Myers Squibb ,Y,N,N,Y,N,N,N,N,N,,09-Mar-16,,CADTH & INESSS,13-Feb-15,pre-NOC,Initial,"Hepatitis C, chronic",Completed,20-Jul-16,Reimburse with clinical criteria and/or conditions,Conditional,22-Mar-16,post-NOC,New Drug,chronic hepatitis C (CHC),Completed,03-Oct-16,Avis de refus d'inscription aux listes des médicaments - Valeur thérapeutique,Negative,1st,20-Jul-16,17-Feb-17,Negotiation,Completed with Agreements,DL,DL,DL,DL,DL,DL,DL,DL,DL,DL,2017-03-21,2017-04-01,2017-04-01,,2017-02-28,2017-03-29,2017-05-01,,2017-09-01,2008-06-01,28-Feb-17,2008-06-01,3.0,5.0,6.0,,2.0,4.0,7.0,,8.0,1.0,28.60%,60.80%,81.10%,82.00%,86.40%,92.10%,93.40%,94.10%,,,94.10%,28-Feb-17,21-Mar-17,-390.0,13.0,523.0,195.0,0.0,-75.0,212.0,32.0,43.0,43.0,,11.0,40.0,73.0,,196.0,-3183.0,63.0,11.0,-343.0,-3183.0,32.0,377.0,388.0,388.0,,356.0,385.0,418.0,,541.0,-2838.0,408.0,2.0,356.0,746.0,223.0,244.0,255.0,255.0,,223.0,252.0,285.0,,408.0,-3046.0,275.0,133.0,208.0,212.0,137.0,377.0,3215.0,21.0,3194.0,21.0,42571
587,Sylvant,siltuximab,Janssen ,Y,Y,N,Y,Y,Y,Y,Y,N,,03-Dec-14,,CADTH,30-Jan-15,post-NOC,New drug,Lymphoma & myeloma: Multicentric Castleman's Disease (MCD),Completed,22-Jun-15,Cond'l on Cost,Conditional,,,,,,,,,1st,08-Aug-15,30-Sep-16,Negotiation,Completed with Agreements,Funded,Funded,Funded,Funded,Funded,Funded,Funded,Not funded,Funded,,2016-12-01,2018-01-01,2017-08-02,2016-12-05,2016-12-22,2017-07-10,2020-02-01,,2020-02-01,,01-Dec-16,2016-12-01,1.0,6.0,5.0,2.0,3.0,4.0,7.0,,8.0,,20.30%,25.80%,58.00%,58.90%,64.60%,69.10%,70.40%,71.10%,,,71.10%,22-Dec-16,,58.0,,143.0,,47.0,,419.0,62.0,458.0,306.0,66.0,83.0,283.0,1219.0,,1219.0,,462.0,62.0,462.0,62.0,,729.0,1125.0,973.0,733.0,750.0,950.0,1886.0,,1886.0,,1129.0,1129.0,729.0,671.0,528.0,528.0,924.0,772.0,532.0,549.0,749.0,1685.0,,1685.0,,928.0,201.0,,466.0,,,,,21.0,,42177
589,Synjardy,empagliflozin and metformin,Boehringer Ingelheim ,N,N,N,N,N,N,N,N,N,,29-Jul-16,,CADTH & INESSS,29-Apr-16,pre-NOC,Initial,Diabetes mellitus (Type 2),Completed,25-Oct-16,Reimburse with clinical criteria and/or conditions,Conditional,12-Aug-16,post-NOC,New Drug,Type 2 Diabetes,Completed,15-Mar-17,Avis d'inscription aux listes des médicaments - Médicament d'exception - Avec conditions,Conditional,1st,11-Sep-18,11-Sep-18,Negotiation,Completed with Agreements,SA,SA,EDS,EDS,FB,SA,EDS,SA,SA,EM,2019-05-27,2019-01-01,2019-01-01,2019-05-31,2018-10-31,2019-02-27,2019-01-01,2019-08-01,2019-10-22,2018-09-27,31-Oct-18,2018-09-27,7.0,3.0,4.0,8.0,2.0,6.0,5.0,9.0,10.0,1.0,28.60%,60.80%,65.30%,71.00%,72.30%,73.20%,93.40%,99.00%,99.30%,100.00%,100.00%,31-Oct-18,27-May-19,-91.0,14.0,179.0,215.0,686.0,545.0,0.0,258.0,112.0,112.0,262.0,50.0,169.0,112.0,324.0,406.0,16.0,201.0,50.0,182.0,16.0,258.0,1032.0,886.0,886.0,1036.0,824.0,943.0,886.0,1098.0,1180.0,790.0,975.0,956.0,824.0,915.0,736.0,944.0,798.0,798.0,948.0,736.0,855.0,798.0,1010.0,1092.0,561.0,887.0,88.0,229.0,686.0,545.0,1032.0,242.0,208.0,34.0,208.0,42668
590,Tafinlar,dabrafenib,GlaxoSmithKline,Y,N,N,Y,Y,Y,N,Y,N,,16-Jul-13,,CADTH & INESSS,18-Mar-13,pre-NOC,New drug,Metastatic Melanoma,Completed,05-Dec-13,Cond'l on Cost,Conditional,02-Aug-13,post-NOC,New Drug,Metastatic Melanoma,Completed,03-Feb-14,Avis de refus - À moins que le rapport entre le coût et l'efficacité soit modifié pour atteindre un niveau acceptable,Conditional,1st,31-Jan-14,25-Jun-14,Negotiation,Completed with Agreements,Funded,Funded,Funded,Funded,Funded,Funded,Funded,Funded,Funded,EM,2014-12-01,2015-03-30,2014-09-15,2014-10-16,2014-08-19,2014-10-03,2016-09-01,2018-10-29,2014-08-01,2014-02-03,01-Aug-14,2014-02-03,7.0,8.0,4.0,6.0,3.0,5.0,9.0,10.0,2.0,1.0,28.60%,29.30%,61.50%,67.20%,68.10%,73.60%,93.90%,98.30%,99.60%,100.00%,100.00%,19-Aug-14,01-Dec-14,-120.0,17.0,262.0,185.0,57.0,-3.0,145.0,159.0,278.0,82.0,113.0,55.0,100.0,799.0,1587.0,37.0,-142.0,357.0,37.0,307.0,-142.0,159.0,503.0,622.0,426.0,457.0,399.0,444.0,1143.0,1931.0,381.0,202.0,701.0,651.0,381.0,501.0,239.0,361.0,480.0,284.0,315.0,257.0,302.0,1001.0,1789.0,239.0,0.0,559.0,142.0,202.0,202.0,142.0,503.0,301.0,122.0,197.0,104.0,41613
591,Tafinlar & Mekinist in combo,dabrafenib & trametinib in combo,GlaxoSmithKline,Y,N,N,N,Y,Y,N,Y,N,,06-Mar-15,,CADTH & INESSS,13-Feb-15,pre-NOC,New indication,Metastatic Melanoma,Completed,21-Jul-15,Cond'l on Cost,Conditional,01-May-15,post-NOC,New Indication,Metastatic Melanoma,Completed,01-Oct-15,Avis de refus dajout dune indication reconnue aux listes de médicaments  Médicament dexception - À moins que certaines conditions soient respectées,Conditional,1st,18-Sep-15,25-May-16,Negotiation,Completed with Agreements,Funded,Funded,Funded,Funded,Funded,Funded,Funded,Funded,Funded,EM,2016-08-01,2016-10-18,2016-08-08,2016-07-21,2016-08-10,2017-03-13,2016-09-01,2018-10-29,2017-02-01,2016-07-15,21-Jul-16,2016-07-15,3.0,7.0,4.0,2.0,5.0,9.0,6.0,10.0,8.0,1.0,28.60%,34.10%,54.40%,60.10%,92.30%,93.60%,98.10%,98.80%,99.60%,100.00%,100.00%,01-Aug-16,10-Aug-16,-21.0,56.0,158.0,153.0,59.0,-301.0,250.0,68.0,146.0,75.0,57.0,77.0,292.0,99.0,887.0,252.0,51.0,217.0,57.0,200.0,51.0,77.0,514.0,592.0,521.0,503.0,523.0,738.0,545.0,1333.0,698.0,497.0,663.0,646.0,503.0,524.0,366.0,377.0,455.0,384.0,366.0,386.0,601.0,408.0,1196.0,561.0,0.0,526.0,137.0,497.0,309.0,-51.0,523.0,26.0,20.0,17.0,9.0,42206
