"Trade_Name
",Chemical,Manufacturer,Top_15_Brand_Corporation,Biologic_(by_Product),Biosimilar,NAS,Oncology,Rare_Disease_(FDA),Rare_Disease_(EMA),Rare_Disease_(FDA_or_EMA),HC-HTA_Aligned_Review,Health_Canada_Submission_Date,NOC_Date,Health_Canada_Review_Time,HTA_Agency,CADTH_Submission_Date,CADTH_Timing_of__Submission,CADTH_Submission_Type_-_Agency_Specific,CADTH_Indication,CADTH_Review_Status,CADTH_Final_Recommendation/Withdrawn_Date,CADTH_Recommended_-_Agency_Specific,CADTH_Decision_Type_-_Standardized,INESSS_Submission_Date,INESSS_Timing_of__Submission,INESSS_Submission_Type_-_Agency_Specific,INESSS_Indication,INESSS_Review_Status,INESSS_Final_Recommendation/Withdrawn_Date,INESSS_Recommended_-_Agency_Specific,INESSS_Decision_Type_-_Standardized,pCPA_Negotiation,pCPA_First_Date,pCPA_Final_Date,pCPA_Type,pCPA_Negotiation_Outcome,BC_Status,AB_Status,SK_Status,MB_Status,ON_Status,NB_Status,NS_Status,PEI_Status,NL_Status,QC_Status,Listing_BC_Date,Listing_AB_Date,Listing_SK_Date,Listing_MB_Date,Listing_ON_Date,Listing_NB_Date,Listing_NS_Date,Listing_PEI_Date,Listing_NL_Date,Listing_QC_Date,First_Prov_Listing_(excl_QC),First_Prov_Listing_(inc_QC),Rank_BC_Listing_Date,Rank_AB_Listing_Date,Rank_SK_Listing_Date,Rank_MB_Listing_Date,Rank_ON_Listing_Date,Rank_NB_Listing_Date,Rank_NS_Listing_Date,Rank_PEI_Listing_Date,Rank_NL_Listing_Date,Rank_QC_Listing_Date,Rank_1,Rank_2,Rank_3,Rank_4,Rank_5,Rank_6,Rank_7,Rank_8,Rank_9,Rank_10,Total_population_coverage_(incl_QC),Date_>_50%_Cumulative_Ranking,Date_>_80%_Cumulative_Ranking,NOC_to_CADTH_Submission,NOC_to_INESSS_Submission,CADTH_Duration,INESSS_Duration,CADTH_to_pCPA_Initiation,INESSS_to_pCPA_Initiation,pCPA_LOI_to_LOE,pCPA_to_Listing_BC_Date,pCPA_to_Listing_AB_Date,pCPA_to_Listing_SK_Date,pCPA_to_Listing_MB_Date,pCPA_to_Listing_ON_Date,pCPA_to_Listing_NB_Date,pCPA_to_Listing_NS_Date,pCPA_to_Listing_PEI_Date,pCPA_to_Listing_NL_Date,pCPA_to_Listing_QC_Date,pCPA_to_Listing_Nat_Avg_(excl_QC),pCPA_Completion_to_1st_Listing_(excl_QC),pCPA_to_Listing_Nat_Avg_(incl_QC),pCPA_Completion_to_1st_Listing_(incl_QC),pCPA_Completion_to_80%_Listing,NOC_to_Listing_BC_Date,NOC_to_Listing_AB_Date,NOC_to_Listing_SK_Date,NOC_to_Listing_MB_Date,NOC_to_Listing_ON_Date,NOC_to_Listing_NB_Date,NOC_to_Listing_NS_Date,NOC_to_Listing_PEI_Date,NOC_to_Listing_NL_Date,NOC_to_Listing_QC_Date,NOC_to_Listing_Nat_Avg_(excl_QC),NOC_to_Listing_Nat_Avg_(inc_QC),"NOC_to_1st_Provincial_Listing
(unique_at_product/indication_level)_exc_QC","CADTH_Submission_to_1st_Provincial_Listing
exc_QC",CADTH_Recommendation_to_1st_Provincial_Listing_exc_QC,HTA_Rec_to_BC_Listing_Date,HTA_Rec_to_AB_Listing_Date,HTA_Rec_to_SK_Listing_Date,HTA_Rec_to_MB_Listing_Date,HTA_Rec_to_ON_Listing_Date,HTA_Rec_to_NB_Listing_Date,HTA_Rec_to_NS_Listing_Date,HTA_Rec_to_PEI_Listing_Date,HTA_Rec_to_NL_Listing_Date,HTA_Rec_to_QC_Listing_Date,Nat`l_Avg_(excl_QC),NOC_to_CADTH_Rec,NOC_to_INESSS_Rec,CADTH_Rec_to_pCPA_Decision,INESSS_Rec_to_pCPA_Decision,NOC_to_80%_Listing,First_Provincial_Listing_to_80%_Listing_(incl_QC),First_Provincial_Listing_to_80%_Listing_(excl_QC),First_Provincial_Listing_to_50%_Listing_(incl_QC),50%_Listing_to_80%_Listing,HC_Sub_to_CADTH_Rec
Tecentriq & Avastin,atezolizumab & bevacizumab,Hoffman-La Roche,Y,Y,N,N,Y,N,N,N,N,01-Jul-18,24-May-19,327,CADTH,18-Nov-19,post-NOC,New indication,For the treatment of metastatic EGFR and/or ALK positive non-squamous non-small cell lung cancer in patients who have progressed on treatment with targeted therapies. Maintenance TECENTRIQ should be continued until loss of clinical benefit or unacceptable toxicity. Maintenance AVASTIN should be continued until disease progression or unacceptable toxicity.,Completed,03-Jul-20,Do Not Fund,Negative,,,,,,,,,None,01-Sep-20,,Do Not Negotiate,n/a,Not funded,Not funded,Not funded,Not funded,Not funded,Not funded,Not funded,Not funded,Not funded,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.00%,,,178,,228,,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,406,,,,,,,,,733
Tecentriq & Avastin,atezolizumab & bevacizumab,Hoffman-La Roche,Y,Y,N,N,Y,Y,N,Y,N,01-Feb-20,07-Aug-20,188,CADTH & INESSS,21-May-20,pre-NOC,New indication,"Hepatocellular Carcinoma (HCC): TECENTRIQ (atezolizumab), in combination with AVASTIN (bevacizumab), for the first-line treatment of adult patients with unresectable or metastatic hepatocellular carcinoma (HCC) who require systemic therapy.",Completed,17-Nov-20,Cond'l on Cost,Conditional,26-Jun-20,pre-NOC,New Indication,"Hepatocellular Carcinoma (HCC): TECENTRIQ (atezolizumab), in combination with AVASTIN (bevacizumab), for the first-line treatment of adult patients with unresectable or metastatic hepatocellular carcinoma (HCC) who require systemic therapy.",Completed,30-Dec-20,Inscription - Avec conditions,Conditional,1st,26-Mar-21,14-Oct-21,Negotiation,Completed with Agreements,Funded,Funded,Funded,Funded,Funded,Under provincial consideration,Under provincial consideration,Funded,Under provincial consideration,EM,01-Apr-22,31-Jan-22,01-Nov-21,24-Nov-21,31-Mar-22,,,,,15-Dec-21,01-Nov-21,01-Nov-21,6,4,1,2,5,,,,,3,5.70%,11.20%,39.80%,44.30%,76.50%,96.80%,,,,,96.80%,31-Mar-22,01-Apr-22,-78,-42,180,187,129,86,202,169,109,18,41,168,,,,,62,101,18,95,18,169,602,542,451,474,601,,,,,495,534,528,451,529,349,500,440,349,372,499,,,,,350,432,102,145,331,288,602,151,151,150,1,290
Tecfidera,dimethyl fumarate,Biogen,N,N,N,Y,N,N,N,N,N,,03-Apr-13,,CADTH & INESSS,04-Feb-13,pre-NOC,Initial,"Multiple Sclerosis, relapsing ",Completed,25-Sep-13,List with criteria/condition,Conditional,02-Aug-13,post-NOC,New Drug,"Multiple Sclerosis, relapsing ",Completed,03-Feb-14,Ajout aux listes de médicaments - Médicament d'exception,Conditional,1st,31-Jan-14,10-Apr-14,Negotiation,Completed with Agreements,SA,SA,EDS,EDS,EAP,SA,EDS,SA,SA,EM,24-Jun-14,01-Aug-14,01-May-14,17-Jul-14,01-May-14,03-Oct-14,23-Jul-14,25-May-15,22-May-14,03-Feb-14,01-May-14,03-Feb-14,5,8,2,6,3,9,7,10,4,1,28.60%,34.30%,66.50%,67.20%,87.50%,93.00%,94.30%,98.80%,99.60%,100.00%,100.00%,01-May-14,24-Jun-14,-58,121,233,185,128,-3,69,75,113,21,98,21,176,104,410,42,-66,118,21,99,-66,75,447,485,393,470,393,548,476,782,414,306,490,471,393,451,218,272,310,218,295,218,373,301,607,239,0,315,175,306,197,66,447,141,54,87,54,41542
Technivie,ombitasvir/ paritaprevir/ ritonavir,AbbVie ,Y,N,N,N,N,N,N,N,N,,20-Oct-15,,CADTH & INESSS,04-Sep-15,pre-NOC,Initial,"Hepatitis C, chronic (genotype 4)",Completed,18-Mar-16,List with clinical criteria and/or conditions,Conditional,04-Aug-15,pre-NOC,New Drug,"Hepatitis C, chronic (genotype 4)",Completed,26-Apr-16,Avis d’inscription aux listes des médicaments – Médicament d’exception,Conditional,1st,14-Apr-16,17-Feb-17,Negotiation,No agreement reached,NR,NR,NR,NR,NR,NR,NR,NR,NR,UR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.00%,,,-46,-77,196,266,27,-12,309,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,150,189,336,297,,,,,,42447
Tegsedi,inotersen,Akcea Therapeutics ,N,N,N,Y,N,Y,Y,Y,Y,01-Apr-18,03-Oct-18,185,CADTH & INESSS,22-Feb-19,post-NOC,Initial,hereditary transthyretin amlyoidosis,Completed,18-Dec-19,Reimburse with clinical criteria and/or conditions,Conditional,22-Mar-19,post-NOC,New Drug,Polyneuropathy ATTRh,Completed,11-Sep-19,Inscription - Avec conditions,Conditional,1st,29-Nov-19,30-Apr-20,Negotiation,Completed with Agreements,EDRD,UR,EDS,EDS,EAP,SA,EDS,UR,UR,EM,01-Dec-21,,01-Oct-20,21-Jan-21,29-Jan-21,20-Aug-20,27-Jun-22,,,08-Jul-20,20-Aug-20,08-Jul-20,6,,3,4,5,2,7,,,1,28.60%,29.50%,35.20%,40.70%,73.00%,93.20%,94.50%,,,,94.50%,29-Jan-21,01-Dec-21,142,170,299,173,-19,79,153,580,,154,266,274,112,788,,,69,362,112,320,69,580,1155,,729,841,849,687,1363,,,644,937,895,687,545,246,714,,288,400,408,246,922,,,301,496,441,343,134,232,1155,511,468,205,306,626
Tepmetko,tepotinib,EMD Serono - Pfizer Alliance,N,N,N,Y,Y,Y,N,Y,N,01-Oct-20,27-May-21,238,CADTH & INESSS,30-Aug-21,post-NOC,Initial,For the treatment of adult patients with locally advanced unresectable metastatic non-small cell lung cancer (NSCLC) harbouring mesenchymal-epithelial transition (MET) tyrosine kinase receptor exon 14 skipping alterations.,Completed,24-Aug-22,Do Not Fund,Negative,22-Apr-22,post-NOC,New Drug,For the treatment of adult patients with locally advanced unresectable metastatic non-small cell lung cancer (NSCLC) harbouring mesenchymal-epithelial transition (MET) tyrosine kinase receptor exon 14 skipping alterations.,Completed,31-Aug-22,Inscription - Avec conditions,Conditional,1st,09-Mar-23,,Active,n/a,Under provincial consideration,Under provincial consideration,Under provincial consideration,Under provincial consideration,Under provincial consideration,Under provincial consideration,Under provincial consideration,Under provincial consideration,Under provincial consideration,UR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.00%,,,95,330,359,131,197,190,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,454,461,,,,,,,,692
Tezspire,tezepelumab,AstraZeneca Canada Inc,Y,Y,N,Y,N,N,N,N,Y,01-Oct-21,28-Jul-22,300,CADTH & INESSS,14-Apr-22,pre-NOC,Initial,Asthma,Completed,16-Nov-22,Reimburse with clinical criteria and/or conditions,Conditional,16-Dec-22,post-NOC,New Drug,Asthma,under review,TBD,TBD,TBD,none,,,,,UR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.00%,,,-105,141,216,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,111,,,,,,,,,411
Tivicay,dolutegravir,ViiV Healthcare ,N,N,N,Y,N,N,N,N,N,,31-Oct-13,,CADTH & INESSS,18-Oct-13,pre-NOC,Initial,HIV infection,Completed,18-Aug-14,List,Positive,24-Nov-13,post-NOC,New Drug,HIV infection,Completed,02-Jun-14,Ajout aux listes de médicaments,Positive,1st,28-Oct-14,08-Apr-15,Negotiation,Completed with Agreements,HIV,HIV,EDS,EDS,FB,FB,HIV,FB,SA,FB,10-Apr-14,01-Nov-15,01-Jul-15,22-Jul-15,30-Apr-15,29-Jun-15,06-Jun-15,23-Nov-15,01-Jul-15,02-Jun-14,10-Apr-14,10-Apr-14,1,9,6,8,3,5,4,10,7,2,20.30%,48.80%,81.10%,82.40%,83.30%,89.00%,89.70%,95.20%,99.60%,100.00%,100.00%,30-Apr-15,30-Apr-15,-13,24,304,190,71,148,162,-363,207,84,105,22,82,59,229,84,-310,57,-363,20,-363,22,161,731,608,629,546,606,583,753,608,214,581,544,161,174,-130,-130,440,317,338,255,315,292,462,317,0,290,291,214,233,310,546,385,385,385,0,41869
Toviaz,fesoterodine fumarate ,Pfizer ,Y,N,N,Y,N,N,N,N,N,,09-Feb-12,,CADTH & INESSS,27-Apr-12,post-NOC,Initial,"Bladder, overactive ",Completed,18-Oct-12,List in a similar manner,Conditional,02-Aug-12,post-NOC,New Drug,"Bladder, overactive ",Completed,01-Feb-13,Ajout aux listes de médicaments - Médicament d'exception,Conditional,none,,,,,NR,SA,EDS,FB,LU,SA,EDS,SA,SA,EM,,01-Feb-13,01-Jan-13,17-Jul-13,30-Apr-13,20-Jun-13,04-Mar-13,21-Jan-13,25-Apr-13,15-Mar-13,01-Jan-13,01-Jan-13,,3,1,9,7,8,4,2,6,5,5.70%,6.10%,10.50%,11.80%,40.40%,41.10%,73.30%,74.20%,79.70%,,79.70%,30-Apr-13,,78,175,174,183,,,,,,,,,,,,,,,,,,,,358,327,524,446,497,389,347,441,400,416,414,327,249,75,,106,75,272,194,245,137,95,189,42,164,252,358,,,,,,119,,41200
Trazimera,trastuzumab,Pfizer,Y,Y,Y,Y,Y,N,N,N,N,01-Feb-18,15-Aug-19,560,CADTH,n/a,na,New drug,Breast and Gastric Cancer Biosimilar,File-Closed Not Submitted,,n/a,n/a,,,,,,,,,1st,31-May-19,17-Oct-19,Negotiation,Completed with Agreements,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.00%,,,,,,,,,139,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-43132
Treanda,bendamustine hydrochloride,Lundbeck,N,N,N,Y,Y,Y,N,Y,N,,24-Aug-12,,CADTH & INESSS,24-Apr-12,pre-NOC,New drug,Non-Hodgkin lymphoma (NHL),Completed,29-Nov-12,Fund,Positive,,,New Drug,Non-Hodgkin lymphoma (NHL),Completed,03-Jun-13,Avis de refus - Valeur thérapeutique,Negative,1st,19-Feb-13,25-Apr-13,Negotiation,Completed with Agreements,Funded,Funded,Funded,Funded,Funded,Funded,Funded,Funded,Funded,NR,01-Jun-13,25-Mar-13,03-Apr-13,19-Mar-13,21-May-13,01-Feb-14,10-Jul-13,08-Apr-14,01-Jan-13,,01-Jan-13,01-Jan-13,6,3,4,2,5,8,7,9,1,,0.70%,6.20%,10.70%,16.40%,48.60%,68.90%,70.20%,71.10%,71.40%,,71.40%,01-Jun-13,,-122,,219,,82,-104,65,37,-31,-22,-37,26,282,76,348,-114,,63,-114,63,-114,,281,213,222,207,270,526,320,592,130,,307,307,130,252,33,184,116,125,110,173,429,223,495,33,,210,97,283,147,-39,,,,151,,41242
Treanda,bendamustine hydrochloride,Lundbeck,N,N,N,Y,Y,Y,N,Y,N,,24-Aug-12,,CADTH & INESSS,24-Apr-12,pre-NOC,New drug,Chronic lymphocytic leukemia (CLL) (1st Line),Completed,19-Feb-13,Cond'l on Cost,Conditional,24-Nov-12,post-NOC,New Drug,Chronic lymphocytic leukemia (CLL) (1st Line),Completed,03-Jun-13,Ajout à la Liste Établissements - Médicament d'exception,Positive,1st,,31-Jan-14,Negotiation,Completed with Agreements,Funded,Funded,Funded,Funded,Funded,Funded,Funded,Funded,Funded,EM,01-Jan-17,18-Jul-13,03-Apr-13,21-Jan-14,21-May-13,01-Feb-14,10-Jul-13,01-Aug-18,02-Jan-13,03-Jun-13,02-Jan-13,02-Jan-13,9,6,2,7,3,8,5,10,1,4,0.70%,6.40%,38.60%,67.20%,68.50%,73.00%,78.50%,79.40%,99.60%,100.00%,100.00%,03-Jun-13,01-Jan-17,-122,92,301,191,,,,1066,-197,-303,-10,-255,1,-205,1643,-394,-242,150,-394,110,-394,1066,1591,328,222,515,270,526,320,2168,131,283,675,635,131,253,-48,1412,149,43,336,91,347,141,1989,-48,0,496,179,283,346,242,1591,1460,1460,152,1308,41324
Treanda (in combination with rituximab),bendamustine hydrochloride,Lundbeck,N,N,N,N,Y,Y,N,Y,N,,,,CADTH,27-Jun-14,na,New indication,Chronic Lymphocytic Leukemia,Withdrawn,26-Sep-14,n/a,n/a,,,,,,,,,None,,,,,Funded,Funded,Funded,Funded,Not funded,Not funded,Funded,Not funded,Not funded,,01-Jan-17,01-Oct-15,01-Apr-15,01-Dec-15,,,01-Apr-17,,,,01-Apr-15,01-Apr-15,4,2,1,3,,,5,,,,5.70%,10.20%,15.70%,36.00%,37.30%,,,,,,37.30%,,,,,91,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,278,187,828,370,187,431,,,918,,,,547,,,,,,,,,,41908
Treanda (Relapsed),bendamustine hydrochloride,Lundbeck,N,N,N,Y,Y,Y,N,Y,N,,24-Aug-12,,CADTH,24-Apr-12,pre-NOC,New drug,Chronic Lymphocytic Leukemia (relapsed/refractory),Completed,29-Nov-12,Do Not Fund,Negative,,,,,,,,,1st,,31-Jan-14,Negotiation,Completed with Agreements,Funded,Funded,Not funded,Not funded,Not funded,Not funded,Not funded,Not funded,Not funded,,01-Feb-13,01-Mar-13,,,,,,,,,01-Feb-13,01-Feb-13,1,2,,,,,,,,,20.30%,24.70%,,,,,,,,,24.70%,,,-122,,219,,,,,-364,-336,,,,,,,,,-350,-364,-350,-364,,161,189,,,,,,,,,175,175,161,283,64,64,92,,,,,,,,,78,97,,428,,,,,,,41242
Trelegy Ellipta,fluticasone furoate umeclidinium vilanterol,GlaxoSmithKline,Y,N,N,N,N,N,N,N,N,01-Jun-17,04-Apr-18,307,CADTH & INESSS,01-Mar-18,pre-NOC,Initial,Chronic Obstructive Pulmonary Disease (COPD),Completed,23-Aug-18,Reimburse with clinical criteria and/or conditions,Conditional,05-Mar-18,pre-NOC,New Drug,COPD,Completed,05-Sep-18,Avis d'inscription aux listes des médicaments - Médicament d'exception - Avec conditions,Conditional,1st,30-Nov-18,09-Sep-19,Negotiation,Completed with Agreements,SA,SA,EDS,EDS,LU,SA,EDS,FB,SA,EM,07-Jul-20,01-Feb-20,01-Nov-19,02-Mar-20,30-Sep-19,01-Oct-19,01-Dec-19,25-Nov-19,03-Jan-20,14-Nov-19,30-Sep-19,30-Sep-19,10,8,3,9,1,2,6,5,7,4,32.20%,33.10%,38.80%,67.40%,67.80%,69.10%,69.80%,74.20%,79.70%,100.00%,100.00%,14-Nov-19,07-Jul-20,-34,-30,175,184,99,86,283,302,145,53,175,21,22,83,77,116,66,110,21,106,21,302,825,668,576,698,544,545,606,600,639,589,633,629,544,578,403,684,527,435,557,403,404,465,459,498,435,492,141,154,382,369,825,281,281,45,236,448
Tremfya,guselkumab,Janssen ,Y,Y,N,Y,N,N,N,N,N,01-Jan-17,10-Nov-17,313,CADTH & INESSS,25-Aug-17,pre-NOC,Initial,"Psoriasis, moderate to severe plaque",Completed,21-Feb-18,Reimburse with clinical criteria and/or conditions,Conditional,27-Aug-17,pre-NOC,New Drug,Psoriasis,Completed,01-Mar-18,Avis d’inscription aux listes des médicaments – Médicament d’exception – Avec conditions,Conditional,1st,30-Oct-18,21-Jun-19,Negotiation,No agreement reached,NR,UR,NR,UR,UR,NR,UR,UR,UR,UR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.00%,,,-77,-75,180,186,251,243,234,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,103,111,485,477,,,,,,416
Tremfya,guselkumab,Janssen Inc.,Y,Y,N,N,N,N,N,N,N,01-Nov-19,04-Sep-20,308,CADTH & INESSS,02-May-22,post-NOC,Initial,Psoriatic arthritis,Completed,17-Nov-22,Reimburse with clinical criteria and/or conditions,Conditional,16-Dec-22,post-NOC,New Indication,Psoriatic arthritis,under review,TBD,TBD,TBD,none,,,,,UR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.00%,,,605,833,199,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,804,,,,,,,,,1112
Tresiba,insulin degludec,Novo Nordisk ,Y,Y,N,Y,N,N,N,N,N,01-Oct-16,25-Aug-17,328,CADTH & INESSS,31-May-17,pre-NOC,Initial,"Diabetes mellitus, Type 1 & 2",Completed,20-Nov-17,Reimburse with clinical criteria and/or conditions,Conditional,01-Aug-17,pre-NOC,New Drug,Diabetes,Completed,11-Apr-18,Avis d’inscription aux listes des médicaments – Médicament d’exception (diabète de type 1) Avis de refus d’inscription aux listes des médicaments (diabète de type 2),Conditional,1st,30-Apr-18,26-Jul-18,Negotiation,Completed with Agreements,NR,FB,FB,FB,FB,FB,FB,FB,FB,EM,,01-Dec-18,01-Oct-18,18-Oct-18,27-Sep-18,30-Nov-18,01-May-19,26-Nov-18,31-Jan-19,27-Sep-18,27-Sep-18,27-Sep-18,,7,3,4,1,6,9,5,8,2,32.20%,60.80%,66.50%,72.10%,72.40%,73.30%,77.80%,78.40%,79.70%,,79.70%,27-Sep-18,,-86,-24,173,253,161,19,87,,128,67,84,63,127,279,123,189,63,133,63,125,63,,,463,402,419,398,462,614,458,524,398,468,460,398,484,311,,376,315,332,311,375,527,371,437,169,381,87,229,248,106,,,,0,,415
Trikafta,elexacaftor/tezacaftor/ivacaftor and ivacaftor,Vertex Pharmaceuticals (Canada) Incorporated,N,N,N,Y,N,Y,Y,Y,Y,01-Dec-20,18-Jun-21,199,CADTH & INESSS,22-Jan-21,pre-NOC,Initial,Triple Combination Therapy (elexacaftor/tezacaftor/ivacaftor and ivacaftor) tablets for the treatment of cystic fibrosis (CF) in patients aged 12 years and older who have at least one F508del mutation in the cystic fibrosis transmembrane conductance regulator (CFTR) gene,Completed,16-Sep-21,Reimburse with clinical criteria and/or conditions,Conditional,05-Mar-21,pre-NOC,New Drug,Cystic fibrosis children over 12 with CFTR F508del mutation,Completed,01-Sep-21,Inscription - Avec conditions,Conditional,1st,17-Sep-21,17-Sep-21,Negotiation,Completed with Agreements,EDRD,SA,EDS,EDS,EAP,SA,CF,SA,SA,EM,05-Oct-21,24-Sep-21,01-Oct-21,22-Oct-21,22-Sep-21,14-Oct-21,18-Nov-21,01-Nov-21,19-Nov-21,29-Sep-21,22-Sep-21,22-Sep-21,5,2,4,7,1,6,9,8,10,3,32.20%,36.70%,65.30%,71.00%,91.20%,92.10%,97.70%,98.00%,99.30%,100.00%,100.00%,29-Sep-21,05-Oct-21,-147,-105,237,180,1,16,0,18,7,14,35,5,27,62,45,63,12,31,5,29,5,18,109,98,105,126,96,118,153,136,154,103,122,120,96,243,6,19,8,15,36,6,28,63,46,64,28,32,90,75,1,16,109,13,13,7,6,289
Trikafta,elexacaftor/tezacaftor/ivacaftor and ivacaftor,Vertex Pharmaceuticals (Canada) Incorporated,N,N,N,Y,N,Y,Y,Y,Y,01-Dec-20,20-Apr-22,505,CADTH & INESSS,05-Nov-21,pre-NOC,Initial,"Cystic fibrosis, F508del CFTR mutation, 6 years and olde",Completed,17-Jun-22,Reimburse with clinical criteria and/or conditions,Conditional,22-Apr-22,post-NOC,New Indication,Cystic fibrosis children over 6 with CFTR F508del mutation,Completed,04-Aug-22,Inscription - Avec conditions,Conditional,1st,07-Jul-22,07-Jul-22,Negotiation,Completed with Agreements,EDRD,SA,EDS,EDS,EAP,SA,CF,SA,SA,EM,13-Sep-22,01-Aug-22,01-Aug-22,17-Aug-22,08-Jul-22,25-Jul-22,18-Jul-22,08-Aug-22,08-Aug-22,04-Aug-22,08-Jul-22,08-Jul-22,10,4,5,9,1,3,2,7,8,6,32.20%,33.50%,34.40%,38.90%,44.60%,73.20%,73.50%,74.20%,79.70%,100.00%,100.00%,04-Aug-22,13-Sep-22,-166,2,224,104,20,-28,0,68,25,25,41,1,18,11,32,32,28,28,1,28,1,68,146,103,103,119,79,96,89,110,110,106,106,106,79,245,21,88,45,45,61,21,38,31,52,52,0,48,58,106,20,-28,146,67,67,27,40,563
Trintellix,vortioxetine,Lundbeck ,N,N,N,Y,N,N,N,N,N,,22-Oct-14,,CADTH & INESSS,01-May-19,post-NOC,Initial,"Major depressive disorder (MDD), adults",Completed,12-Feb-20,Reimburse with clinical criteria and/or conditions,Conditional,10-May-19,post-NOC,New Drug,Major depressive disorder,Completed,06-Nov-19,Refus d'inscription,Negative,1st,06-Jul-20,03-Dec-20,Negotiation,Completed with Agreements,SA,UR,FB,FB,FB,FB,FB,FB,FB,FB,06-Jul-21,,01-Feb-21,01-Apr-21,29-Jan-21,22-Apr-21,30-Nov-21,20-Dec-21,20-Apr-21,03-Feb-21,29-Jan-21,29-Jan-21,7,,2,4,1,6,8,9,5,3,32.20%,38.00%,66.50%,72.10%,72.70%,73.60%,93.90%,95.20%,95.50%,,95.50%,03-Feb-21,06-Jul-21,1652,1661,287,180,145,243,150,215,,60,119,57,140,362,382,138,62,184,57,171,57,215,2449,,2294,2353,2291,2374,2596,2616,2372,2296,2418,2405,2291,639,352,510,,355,414,352,435,657,677,433,455,479,1939,1841,295,393,2449,158,158,5,153,43873
Trintellix (Withdrawn),vortioxetine,Lundbeck ,N,N,N,Y,N,N,N,N,N,,22-Oct-14,,CADTH,31-Oct-14,post-NOC,Initial,"Depression, Major Depressive Disorder (MDD) ",Withdrawn,10-Jun-15,Cancelled or withdrawn,n/a,,,,,,,,,none,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.00%,,,9,,222,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,231,,,,,,,,,42165
Trisenox,arsenic trioxide,Lundbeck,N,N,N,Y,Y,Y,Y,Y,N,,07-Jun-13,,CADTH,30-Aug-13,post-NOC,New drug,Acute Promyelocytic Leukemia,Completed,18-Feb-14,Fund,Positive,,,,,,,,,None,01-Apr-14,,Negotiation by Province,n/a,Funded,Funded,Funded,Funded,Funded,Funded,Funded,Funded,Funded,,01-May-14,01-May-14,02-Jul-14,17-Jun-14,02-Sep-14,15-Jul-15,22-Jul-14,08-Apr-14,01-May-14,,08-Apr-14,08-Apr-14,2,3,6,5,8,9,7,1,4,,0.40%,20.60%,25.10%,25.70%,31.30%,37.00%,38.30%,70.50%,71.40%,,71.40%,02-Sep-14,,84,,172,,42,,,,,,,,,,,,,,,,,,328,328,390,375,452,768,410,305,328,,409,409,305,221,49,72,72,134,119,196,512,154,49,72,,153,256,,,,,,,147,,41688
Triumeq,dolutegravir / abacavir / lamivudine ,ViiV Healthcare ,N,N,N,N,N,N,N,N,N,,09-Oct-14,,CADTH & INESSS,31-Jul-14,pre-NOC,Initial,HIV Infection,Completed,17-Apr-15,List with criteria/condition,Conditional,24-Nov-14,post-NOC,New Drug,HIV Infection,Completed,01-Jun-15,Ajout aux listes de médicaments,Positive,1st,,08-Apr-15,Negotiation,Completed with Agreements,HIV,HIV,EDS,EDS,FB,FB,HIV,FB,SA,FB,02-Aug-15,01-Nov-15,01-Oct-15,22-Oct-15,28-May-15,29-Jun-15,29-Jun-15,23-Nov-15,01-Jul-15,01-Jun-15,28-May-15,28-May-15,6,9,7,8,1,3,4,10,5,2,32.20%,60.80%,61.70%,63.00%,63.70%,83.90%,89.70%,95.20%,99.60%,100.00%,100.00%,01-Jun-15,02-Aug-15,-70,46,260,189,,,,116,207,176,197,50,82,82,229,84,54,136,50,128,50,116,297,388,357,378,231,263,263,410,265,235,317,309,231,301,41,107,198,167,188,41,73,73,220,75,0,127,190,235,-9,-54,297,66,66,4,62,42111
